DATE,CPILFESL_NBD20171101
2009-01-01,85.61817
2009-02-01,85.79386
2009-03-01,85.97546
2009-04-01,86.15391
2009-05-01,86.23190
2009-06-01,86.31384
2009-07-01,86.37332
2009-08-01,86.46511
2009-09-01,86.63213
2009-10-01,86.86100
2009-11-01,86.92600
2009-12-01,87.01070
2010-01-01,86.91300
2010-02-01,86.95161
2010-03-01,86.97209
2010-04-01,86.98745
2010-05-01,87.04260
2010-06-01,87.13399
2010-07-01,87.20057
2010-08-01,87.25808
2010-09-01,87.33765
2010-10-01,87.38453
2010-11-01,87.51019
2010-12-01,87.58661
2011-01-01,87.76782
2011-02-01,87.92933
2011-03-01,88.02427
2011-04-01,88.13181
2011-05-01,88.30829
2011-06-01,88.51392
2011-07-01,88.71915
2011-08-01,88.97284
2011-09-01,89.07368
2011-10-01,89.22653
2011-11-01,89.38134
2011-12-01,89.58067
2012-01-01,89.76660
2012-02-01,89.82845
2012-03-01,90.00335
2012-04-01,90.17155
2012-05-01,90.29722
2012-06-01,90.45439
2012-07-01,90.59109
2012-08-01,90.69469
2012-09-01,90.86250
2012-10-01,91.00628
2012-11-01,91.12682
2012-12-01,91.28243
2013-01-01,91.48096
2013-02-01,91.61490
2013-03-01,91.70353
2013-04-01,91.71850
2013-05-01,91.78310
2013-06-01,91.92255
2013-07-01,92.13133
2013-08-01,92.31096
2013-09-01,92.45435
2013-10-01,92.54141
2013-11-01,92.71395
2013-12-01,92.87152
2014-01-01,92.95109
2014-02-01,93.03933
2014-03-01,93.21266
2014-04-01,93.38875
2014-05-01,93.56877
2014-06-01,93.69010
2014-07-01,93.83112
2014-08-01,93.91385
2014-09-01,94.06393
2014-10-01,94.22347
2014-11-01,94.32865
2014-12-01,94.37829
2015-01-01,94.46771
2015-02-01,94.60992
2015-03-01,94.83957
2015-04-01,95.07238
2015-05-01,95.20711
2015-06-01,95.35522
2015-07-01,95.55258
2015-08-01,95.65185
2015-09-01,95.84842
2015-10-01,96.02647
2015-11-01,96.21280
2015-12-01,96.33334
2016-01-01,96.54133
2016-02-01,96.76548
2016-03-01,96.89153
2016-04-01,97.08968
2016-05-01,97.31382
2016-06-01,97.47100
2016-07-01,97.61123
2016-08-01,97.83971
2016-09-01,97.97286
2016-10-01,98.11428
2016-11-01,98.28524
2016-12-01,98.46527
2017-01-01,98.68586
2017-02-01,98.87022
2017-03-01,98.83359
2017-04-01,98.92616
2017-05-01,99.02188
2017-06-01,99.15661
2017-07-01,99.27281
2017-08-01,99.49065
2017-09-01,99.61907
2017-10-01,99.87355
2017-11-01,100.00000
2017-12-01,100.20681
2018-01-01,100.49280
2018-02-01,100.67558
2018-03-01,100.87451
2018-04-01,101.03681
2018-05-01,101.26135
2018-06-01,101.40513
2018-07-01,101.59422
2018-08-01,101.65843
2018-09-01,101.87154
2018-10-01,102.02399
2018-11-01,102.21898
2018-12-01,102.41516
2019-01-01,102.64364
2019-02-01,102.77442
2019-03-01,102.93947
2019-04-01,103.14353
2019-05-01,103.28692
2019-06-01,103.57291
2019-07-01,103.83368
2019-08-01,104.06728
2019-09-01,104.26503
2019-10-01,104.38518
2019-11-01,104.58766
2019-12-01,104.71805
2020-01-01,104.97174
2020-02-01,105.20573
2020-03-01,105.09740
2020-04-01,104.62705
2020-05-01,104.56402
2020-06-01,104.80983
2020-07-01,105.45981
2020-08-01,105.86634
2020-09-01,106.07000
2020-10-01,106.08261
2020-11-01,106.31542
