DATE,DGS10_NBD20171101
2009-01-02,103.79747
2009-01-05,105.06329
2009-01-06,105.90717
2009-01-07,106.32911
2009-01-08,104.21941
2009-01-09,102.53165
2009-01-12,98.73418
2009-01-13,98.31224
2009-01-14,94.51477
2009-01-15,94.09283
2009-01-16,99.57806
2009-01-19,.
2009-01-20,101.26582
2009-01-21,108.01688
2009-01-22,110.54852
2009-01-23,111.81435
2009-01-26,113.92405
2009-01-27,109.28270
2009-01-28,114.34599
2009-01-29,121.09705
2009-01-30,121.09705
2009-02-02,116.45570
2009-02-03,121.94093
2009-02-04,124.47257
2009-02-05,124.47257
2009-02-06,128.69198
2009-02-09,129.53586
2009-02-10,122.36287
2009-02-11,117.29958
2009-02-12,116.03376
2009-02-13,121.94093
2009-02-16,.
2009-02-17,111.39241
2009-02-18,115.61181
2009-02-19,120.25316
2009-02-20,117.29958
2009-02-23,117.29958
2009-02-24,118.14346
2009-02-25,124.47257
2009-02-26,125.73840
2009-02-27,127.42616
2009-03-02,122.78481
2009-03-03,123.62869
2009-03-04,127.00422
2009-03-05,119.40928
2009-03-06,119.40928
2009-03-09,121.94093
2009-03-10,126.16034
2009-03-11,124.47257
2009-03-12,121.94093
2009-03-13,121.94093
2009-03-16,125.31646
2009-03-17,127.42616
2009-03-18,105.90717
2009-03-19,110.12658
2009-03-20,111.81435
2009-03-23,113.08017
2009-03-24,113.08017
2009-03-25,118.56540
2009-03-26,116.45570
2009-03-27,117.29958
2009-03-30,115.18987
2009-03-31,114.34599
2009-04-01,113.08017
2009-04-02,116.87764
2009-04-03,122.78481
2009-04-06,124.47257
2009-04-07,123.62869
2009-04-08,120.67511
2009-04-09,124.89451
2009-04-10,.
2009-04-13,121.51899
2009-04-14,118.14346
2009-04-15,118.98734
2009-04-16,120.67511
2009-04-17,125.73840
2009-04-20,121.51899
2009-04-21,124.05063
2009-04-22,125.73840
2009-04-23,124.89451
2009-04-24,127.84810
2009-04-27,124.47257
2009-04-28,128.69198
2009-04-29,131.64557
2009-04-30,133.33333
2009-05-01,135.44304
2009-05-04,134.59916
2009-05-05,135.02110
2009-05-06,134.17722
2009-05-07,138.81857
2009-05-08,138.81857
2009-05-11,133.75527
2009-05-12,133.75527
2009-05-13,131.22363
2009-05-14,130.80169
2009-05-15,132.48945
2009-05-18,135.86498
2009-05-19,137.13080
2009-05-20,134.59916
2009-05-21,141.35021
2009-05-22,145.56962
2009-05-25,.
2009-05-26,147.67932
2009-05-27,156.54008
2009-05-28,154.85232
2009-05-29,146.41350
2009-06-01,156.54008
2009-06-02,154.00844
2009-06-03,150.21097
2009-06-04,156.96203
2009-06-05,162.02532
2009-06-08,164.97890
2009-06-09,162.86920
2009-06-10,167.93249
2009-06-11,163.71308
2009-06-12,160.75949
2009-06-15,158.64979
2009-06-16,154.85232
2009-06-17,155.27426
2009-06-18,162.86920
2009-06-19,159.91561
2009-06-22,156.96203
2009-06-23,154.00844
2009-06-24,156.96203
2009-06-25,149.78903
2009-06-26,148.52321
2009-06-29,148.10127
2009-06-30,148.94515
2009-07-01,149.78903
2009-07-02,148.10127
2009-07-03,.
2009-07-06,148.52321
2009-07-07,146.41350
2009-07-08,140.50633
2009-07-09,145.14768
2009-07-10,140.08439
2009-07-13,142.61603
2009-07-14,147.67932
2009-07-15,153.16456
2009-07-16,151.47679
2009-07-17,154.85232
2009-07-20,152.32068
2009-07-21,147.67932
2009-07-22,151.05485
2009-07-23,156.96203
2009-07-24,156.11814
2009-07-27,158.22785
2009-07-28,156.96203
2009-07-29,155.69620
2009-07-30,154.85232
2009-07-31,148.52321
2009-08-03,154.43038
2009-08-04,156.11814
2009-08-05,160.33755
2009-08-06,159.91561
2009-08-07,164.13502
2009-08-10,160.33755
2009-08-11,156.54008
2009-08-12,156.96203
2009-08-13,151.47679
2009-08-14,149.78903
2009-08-17,146.83544
2009-08-18,148.10127
2009-08-19,145.56962
2009-08-20,144.30380
2009-08-21,150.21097
2009-08-24,146.83544
2009-08-25,145.56962
2009-08-26,145.14768
2009-08-27,146.41350
2009-08-28,145.99156
2009-08-31,143.45992
2009-09-01,142.61603
2009-09-02,138.81857
2009-09-03,140.50633
2009-09-04,145.56962
2009-09-07,.
2009-09-08,146.41350
2009-09-09,146.83544
2009-09-10,141.77215
2009-09-11,140.92827
2009-09-14,144.30380
2009-09-15,146.41350
2009-09-16,146.83544
2009-09-17,144.30380
2009-09-18,147.25738
2009-09-21,147.25738
2009-09-22,145.99156
2009-09-23,145.14768
2009-09-24,143.45992
2009-09-25,140.92827
2009-09-28,139.66245
2009-09-29,139.66245
2009-09-30,139.66245
2009-10-01,135.44304
2009-10-02,136.70886
2009-10-05,136.70886
2009-10-06,137.97468
2009-10-07,135.44304
2009-10-08,137.97468
2009-10-09,143.45992
2009-10-12,.
2009-10-13,140.92827
2009-10-14,145.56962
2009-10-15,147.25738
2009-10-16,144.72574
2009-10-19,143.88186
2009-10-20,141.35021
2009-10-21,144.30380
2009-10-22,145.14768
2009-10-23,148.10127
2009-10-26,151.47679
2009-10-27,147.25738
2009-10-28,145.14768
2009-10-29,148.94515
