date,cpi
2008-01-01,85.78475
2008-02-01,85.99216
2008-03-01,86.29985
2008-04-01,86.49958
2008-05-01,87.01144
2008-06-01,87.92316
2008-07-01,88.55106
2008-08-01,88.41926
2008-09-01,88.49486
2008-10-01,87.73395
2008-11-01,86.18057
2008-12-01,85.47100
2009-01-01,85.68731
2009-02-01,85.99944
2009-03-01,85.91454
2009-04-01,86.00106
2009-05-01,86.12761
2009-06-01,86.84244
2009-07-01,86.81656
2009-08-01,87.10726
2009-09-01,87.27545
2009-10-01,87.53745
2009-11-01,87.83058
2009-12-01,87.87626
2010-01-01,87.93327
2010-02-01,87.84958
2010-03-01,87.87869
2010-04-01,87.89891
2010-05-01,87.85322
2010-06-01,87.81643
2010-07-01,87.98058
2010-08-01,88.10915
2010-09-01,88.25147
2010-10-01,88.55874
2010-11-01,88.78314
2010-12-01,89.13974
2011-01-01,89.42883
2011-02-01,89.71629
2011-03-01,90.18044
2011-04-01,90.60376
2011-05-01,90.89204
2011-06-01,90.89204
2011-07-01,91.13018
2011-08-01,91.41764
2011-09-01,91.61616
2011-10-01,91.67802
2011-11-01,91.84743
2011-12-01,91.86926
2012-01-01,92.11953
2012-02-01,92.31643
2012-03-01,92.50969
2012-04-01,92.66333
2012-05-01,92.47169
2012-06-01,92.39527
2012-07-01,92.42196
2012-08-01,92.95889
2012-09-01,93.40242
2012-10-01,93.65430
2012-11-01,93.49703
2012-12-01,93.48571
2013-01-01,93.67088
2013-02-01,94.17951
2013-03-01,93.91468
2013-04-01,93.71859
2013-05-01,93.75740
2013-06-01,93.98058
2013-07-01,94.16455
2013-08-01,94.38935
2013-09-01,94.42493
2013-10-01,94.47546
2013-11-01,94.64972
2013-12-01,94.89999
2014-01-01,95.13005
2014-02-01,95.23476
2014-03-01,95.42924
2014-04-01,95.60714
2014-05-01,95.78908
2014-06-01,95.91563
2014-07-01,96.02358
2014-08-01,96.00822
2014-09-01,96.01509
2014-10-01,95.99609
2014-11-01,95.81536
2014-12-01,95.51981
2015-01-01,94.91131
2015-02-01,95.15188
2015-03-01,95.40821
2015-04-01,95.50768
2015-05-01,95.82264
2015-06-01,96.08787
2015-07-01,96.24029
2015-08-01,96.23989
2015-09-01,96.02358
2015-10-01,96.11859
2015-11-01,96.23342
2015-12-01,96.12991
2016-01-01,96.15660
2016-02-01,96.03005
2016-03-01,96.22250
2016-04-01,96.56415
2016-05-01,96.80876
2016-06-01,97.09339
2016-07-01,97.08005
2016-08-01,97.27574
2016-09-01,97.46698
2016-10-01,97.69865
2016-11-01,97.84097
2016-12-01,98.13167
2017-01-01,98.53800
2017-02-01,98.66374
2017-03-01,98.53962
2017-04-01,98.67587
2017-05-01,98.62250
2017-06-01,98.72480
2017-07-01,98.78504
2017-08-01,99.17965
2017-09-01,99.64097
2017-10-01,99.69151
2017-11-01,100.00000
2017-12-01,100.20782
2018-01-01,100.59960
2018-02-01,100.86604
2018-03-01,100.84097
2018-04-01,101.06092
2018-05-01,101.33706
2018-06-01,101.55378
2018-07-01,101.67750
2018-08-01,101.84852
2018-09-01,101.99246
2018-10-01,102.20108
2018-11-01,102.15459
2018-12-01,102.15095
2019-01-01,102.10930
2019-02-01,102.36442
2019-03-01,102.73397
2019-04-01,103.07682
2019-05-01,103.16739
2019-06-01,103.26240
2019-07-01,103.53936
2019-08-01,103.62305
2019-09-01,103.74394
2019-10-01,104.00108
2019-11-01,104.24165
2019-12-01,104.49232
2020-01-01,104.64435
2020-02-01,104.73734
2020-03-01,104.29381
2020-04-01,103.46456
2020-05-01,103.41038
2020-06-01,103.99502
2020-07-01,104.60513
2020-08-01,104.99246
2020-09-01,105.20594
2020-10-01,105.25284
2020-11-01,105.45176
