DATE,DEXUSEU_NBD20171101
2009-01-02,120.03787
2009-01-05,116.85316
2009-01-06,115.72560
2009-01-07,118.07540
2009-01-08,118.04097
2009-01-09,116.15596
2009-01-12,114.88208
2009-01-13,113.59959
2009-01-14,113.39301
2009-01-15,112.70442
2009-01-16,113.99552
2009-01-19,.
2009-01-20,111.43054
2009-01-21,110.77638
2009-01-22,111.50800
2009-01-23,110.59563
2009-01-26,112.95404
2009-01-27,113.26390
2009-01-28,113.99552
2009-01-29,111.79205
2009-01-30,110.20830
2009-02-02,110.24273
2009-02-03,111.98141
2009-02-04,110.66449
2009-02-05,110.50095
2009-02-06,110.81081
2009-02-09,112.44620
2009-02-10,111.60269
2009-02-11,110.97435
2009-02-12,110.36323
2009-02-13,110.85385
2009-02-16,.
2009-02-17,108.20279
2009-02-18,107.99621
2009-02-19,109.09795
2009-02-20,109.22706
2009-02-23,109.71768
2009-02-24,109.67464
2009-02-25,109.57996
2009-02-26,109.86400
2009-02-27,108.98606
2009-03-02,108.28025
2009-03-03,108.01343
2009-03-04,108.51265
2009-03-05,108.15114
2009-03-06,109.08934
2009-03-09,108.76227
2009-03-10,109.76072
2009-03-11,109.95008
2009-03-12,110.16526
2009-03-13,110.95714
2009-03-16,111.86951
2009-03-17,111.65433
2009-03-18,112.84214
2009-03-19,118.17869
2009-03-20,116.76709
2009-03-23,116.79291
2009-03-24,116.40558
2009-03-25,116.53469
2009-03-26,116.71544
2009-03-27,114.52918
2009-03-30,113.15201
2009-03-31,114.14185
2009-04-01,113.81477
2009-04-02,115.83749
2009-04-03,115.74281
2009-04-06,115.01980
2009-04-07,114.32260
2009-04-08,114.37425
2009-04-09,113.17783
2009-04-10,113.12618
2009-04-13,114.94233
2009-04-14,114.27957
2009-04-15,113.46187
2009-04-16,113.59098
2009-04-17,112.15355
2009-04-20,111.06042
2009-04-21,111.70597
2009-04-22,111.99862
2009-04-23,112.30849
2009-04-24,114.27957
2009-04-27,113.06593
2009-04-28,112.42038
2009-04-29,114.68411
2009-04-30,113.99552
2009-05-01,114.19349
2009-05-04,115.03701
2009-05-05,115.12308
2009-05-06,114.58943
2009-05-07,115.43295
2009-05-08,116.14736
2009-05-11,117.23188
2009-05-12,117.38681
2009-05-13,117.16302
2009-05-14,117.12859
2009-05-15,116.53469
2009-05-18,116.22482
2009-05-19,117.12859
2009-05-20,118.47994
2009-05-21,118.81563
2009-05-22,120.54570
2009-05-25,.
2009-05-26,120.43381
2009-05-27,119.84851
2009-05-28,120.05509
2009-05-29,121.58719
2009-06-01,122.15528
2009-06-02,122.82665
2009-06-03,122.17249
2009-06-04,122.11224
2009-06-05,120.41659
2009-06-08,119.50422
2009-06-09,120.62317
2009-06-10,120.35634
2009-06-11,121.30315
2009-06-12,120.84696
2009-06-15,118.64348
2009-06-16,119.45257
2009-06-17,119.21157
2009-06-18,120.31331
2009-06-19,120.48545
2009-06-22,119.17714
2009-06-23,120.80392
2009-06-24,120.63178
2009-06-25,120.09812
2009-06-26,120.98468
2009-06-29,121.00189
2009-06-30,120.67481
2009-07-01,122.10363
2009-07-02,120.65760
2009-07-03,120.42520
2009-07-06,119.96901
2009-07-07,120.20141
2009-07-08,119.22878
2009-07-09,120.72646
2009-07-10,119.86573
2009-07-13,120.27027
2009-07-14,120.25306
2009-07-15,121.50112
2009-07-16,121.49251
2009-07-17,121.53555
2009-07-20,122.31882
2009-07-21,122.18971
2009-07-22,122.39628
2009-07-23,122.79222
2009-07-24,122.33603
2009-07-27,122.32742
